Product Code,Date,Total_Sales,Organic_Sales,Ad_Sales,Total_Traffic,Organic Traffic,Ad traffic,Overall_Units,Organic_Units,Ad_Units,Ad_Impressions,Ad_Spends
B07F5NCTN28,"April 1, 2024","31,500","13,848","11,262","1,548","1,279.55",268.45,90,52,38,"72,433","5,561"
B07R3ZKB7D8,"April 1, 2024","26,680","16,399","6,436",774,677.58,96.42,58,35,23,"24,171","2,186"
B07F5M62172,"April 1, 2024","26,600","9,158","13,452","1,086",822.23,263.77,95,39,56,"41,932","4,935"
B07P8FP14D3,"April 1, 2024","12,780","6,919","5,330",626,492.41,133.59,71,38,33,"26,649","1,089"
B07F5LZHVL1,"April 1, 2024","11,960","10,764",0,154,153.18,0.82,52,52,0,123,5
B07PCPQ57N6,"April 1, 2024","11,520","3,673","6,095",370,279.21,90.79,24,4,20,"14,621","1,304"
B07P6CBN1W6,"April 1, 2024","10,500","6,086","3,154",196,163.76,32.24,28,18,10,"3,017",359
B07R4XJ3HY1,"April 1, 2024","8,400",984,"6,126",128,81.95,46.05,14,-3.5,17.5,"9,844",778
B07MC4NLVL3,"April 1, 2024","10,400","6,656",0,44,41.31,2.69,16,16,0,281,17
B07CGNCPKT6,"April 1, 2024","8,100","-7,670","14,147",192,146.16,45.84,30,-35,65,"13,379",825
B07MC4N1WR6,"April 1, 2024","6,560","2,652","2,924",168,130.27,37.73,41,21,20,"3,668",251
B07MSNKFY56,"April 1, 2024","6,000","4,507",901,139,125.92,13.08,16,13.33,2.67,"3,634",126
B07PBMCH2H1,"April 1, 2024","5,460","1,067","4,162",235,150.33,84.67,13,0,13,"16,917",872
B07F5M3K1Y9,"April 1, 2024","5,760","4,488",632,74,63.74,10.26,32,29.18,2.82,"3,062",98
B07MQ63G912,"April 1, 2024","6,300","5,040",0,73,72.23,0.77,9,9,0,149,2
B07P9K4G8C2,"April 1, 2024","5,170","4,470",447,143,114.93,28.07,11,10,1,"4,339",341
B07MC4N9Z46,"April 1, 2024","5,700","-1,224","5,724",253,167.24,85.76,30,-3,33,"9,770","1,091"
B07P8FN6T23,"April 1, 2024","4,560","3,302",804,189,165.78,23.22,19,15.2,3.8,"4,550",191
B07MQ635T34,"April 1, 2024","4,550","4,095",0,50,50,0,7,7,0,75,0
B009YQB4ZG7,"April 1, 2024","4,400","2,970",990,133,118.41,14.59,8,6,2,"1,667",163
B07R3ZJRTX8,"April 1, 2024","4,050","2,145","1,516",172,156.2,15.8,18,10,8,699,70
B07R4WMZB37,"April 1, 2024","3,645","3,537",0,68,68,0,27,27,0,0,0
B07MQ635T45,"April 1, 2024","4,030","1,438","1,994",135,112.5,22.5,13,6,7,"4,298",337
B07R4VDDG12,"April 1, 2024","4,140","3,420",0,65,58.31,6.69,18,18,0,307,61
B07R4WTRN21,"April 1, 2024","4,840","3,069",0,49,49,0,11,11,0,52,0
B07R3YRKXM3,"April 1, 2024","3,440","2,960",0,22,22,0,16,16,0,20,0
B0823RGLLS2,"April 1, 2024","3,640","1,945",778,79,65.22,13.78,7,5,2,"3,721",141
B07R3ZJHJ37,"April 1, 2024","3,230","2,651",0,36,36,0,19,19,0,180,0
B07PBJNS5X9,"April 1, 2024","3,000",947,"1,693",164,125.37,38.63,12,4.29,7.71,"13,317",968
B07R3ZJTTQ6,"April 1, 2024","3,190","2,420",0,28,28,0,11,11,0,61,0
B009YQC4FK4,"April 1, 2024","2,500","2,150",0,12,12,0,5,5,0,0,0
B07R3ZKHYQ9,"April 1, 2024","2,520","1,828",300,111,104.12,6.88,14,12,2,"1,909",80
B0DNMQVKFL5,"April 1, 2024","3,690","1,344",770,383,367.33,15.67,9,5,4,"9,653",197
B07M7DR8HR2,"April 1, 2024","2,660","2,086",0,79,77.37,1.63,14,14,0,109,5
B07PBLHPN85,"April 1, 2024","1,925","1,619",306,49,48.09,0.91,7,5,2,52,13
B07MQ62Z8H9,"April 1, 2024","2,145","1,815",0,79,79,0,11,11,0,38,0
B07R4W54L84,"April 1, 2024","2,000","1,762",0,82,82,0,20,20,0,0,0
B07R4VLZ379,"April 1, 2024","1,870","1,746",0,70,69.17,0.83,11,11,0,33,2
B07PBJTHK76,"April 1, 2024","2,200","1,682",0,41,41,0,10,10,0,121,0
B07MJBYPSW5,"April 1, 2024","2,100","1,677",0,0,0,0,3,3,0,0,0
B07P8FP3MN7,"April 1, 2024","1,720","1,600",0,13,13,0,4,4,0,19,0
B07R3TV8M37,"April 1, 2024","1,760","1,504",0,71,71,0,8,8,0,0,0
B009YF17KE8,"April 1, 2024","1,500","1,320",0,8,8,0,3,3,0,13,0
B07HKF39CM8,"April 1, 2024","1,500",121,"1,120",7,6.37,0.63,1,0,1,218,6
B07P8FP4MP7,"April 1, 2024","1,290","1,227",0,8,8,0,3,3,0,0,0
B07HZNLDVV8,"April 1, 2024","1,440","1,200",0,11,11,0,4,4,0,0,0
B009XH17FS7,"April 1, 2024","1,400",246,874,41,25.74,15.26,4,1,3,"5,315",302
B07PBKKPWY7,"April 1, 2024","1,170","1,113",0,18,18,0,3,3,0,0,0
B07R4W3SXJ5,"April 1, 2024","1,080",960,0,9,9,0,6,6,0,0,0
B07SD4XCWV5,"April 1, 2024","1,050",913,0,67,58.73,8.27,6,6,0,"1,821",90
B07P8LWZ3L1,"April 1, 2024","1,020",900,0,15,15,0,2,2,0,0,0
B07P8FPC3Y2,"April 1, 2024",980,875,0,7,7,0,7,7,0,0,0
B07R4XRRRN2,"April 1, 2024",810,851,0,17,17,0,6,6,0,32,0
B07MFQQJ297,"April 1, 2024",980,805,0,30,30,0,7,7,0,41,0
B0827TD1548,"April 1, 2024","1,050",800,0,34,34,0,5,5,0,106,0
B07P6CD2JZ5,"April 1, 2024",780,780,0,6,6,0,6,6,0,16,0
B07HZPSGFS1,"April 1, 2024",900,770,0,16,16,0,1,1,0,0,0
B07F5RZWH46,"April 1, 2024",800,735,0,32,32,0,2,2,0,0,0
B07R4V5W3K9,"April 1, 2024",750,726,0,16,16,0,6,6,0,0,0
B07HZQN4SF7,"April 1, 2024",780,720,0,0,0,0,2,2,0,0,0
B07VQQ4QTM2,"April 1, 2024",750,674,0,9,9,0,1,1,0,47,0
B07P9H4S9P5,"April 1, 2024",600,600,0,29,29,0,3,3,0,24,0
B07PBHHXZG5,"April 1, 2024",800,600,0,9,9,0,2,2,0,40,0
B07P79D4LX8,"April 1, 2024",600,570,0,52,52,0,5,5,0,141,0
B07P6CCGTN8,"April 1, 2024",700,550,0,7,7,0,1,1,0,0,0
B07R4TTH217,"April 1, 2024",540,525,0,2,2,0,3,3,0,0,0
B07R4W6SXD9,"April 1, 2024",600,520,0,7,7,0,4,4,0,0,0
B07MQ62RNX6,"April 1, 2024",600,393,120,42,31.5,10.5,3,2.57,0.43,"4,287",75
B07R4V5NBR5,"April 1, 2024",530,504,0,12,12,0,2,2,0,0,0
B07PBJCK8T6,"April 1, 2024",550,500,0,44,44,0,2,2,0,0,0
B07HZN2SSH2,"April 1, 2024",600,480,0,1,1,0,1,1,0,0,0
B07MJBYFQY9,"April 1, 2024",500,207,217,48,33.93,14.07,2,1,1,"7,466",202
B07PBJZ6C74,"April 1, 2024",400,387,0,8,8,0,1,1,0,52,0
B07P8FKBNZ3,"April 1, 2024",450,385,0,0,0,0,1,1,0,0,0
B07MJBYT973,"April 1, 2024",400,356,0,13,13,0,2,2,0,0,0
B08DNYNV919,"April 1, 2024",400,349,0,2,2,0,2,2,0,0,0
B07R4WYM3D7,"April 1, 2024",350,344,0,4,4,0,2,2,0,0,0
B07R4TK5RB7,"April 1, 2024",320,320,0,0,0,0,2,2,0,0,0
B07R4TQ4362,"April 1, 2024",460,320,0,14,14,0,2,2,0,0,0
B07R3JJGYW2,"April 1, 2024",310,304,0,2,2,0,1,1,0,0,0
B07R3ZFCZ48,"April 1, 2024",320,280,0,12,11.4,0.6,2,2,0,43,2
B07P9K24MW1,"April 1, 2024",400,277,0,4,4,0,2,2,0,0,0
B07R4XV29D2,"April 1, 2024",330,270,0,14,14,0,2,2,0,0,0
B07R4XJ54H2,"April 1, 2024",300,267,0,56,56,0,3,3,0,0,0
B07R3JKC418,"April 1, 2024",260,260,0,5,5,0,2,2,0,0,0
B07R3JKMJN5,"April 1, 2024",280,260,0,2,2,0,2,2,0,0,0
B07PBKLTVD4,"April 1, 2024",260,240,0,1,1,0,2,2,0,0,0
B07R4WL4474,"April 1, 2024",220,187,0,18,18,0,2,2,0,0,0
B0855D88PV4,"April 1, 2024",0,0,0,0,0,0,0,0,0,0,0
B07MJBYM6K2,"April 1, 2024",0,0,0,0,0,0,0,0,0,0,0
B07P8FPB576,"April 1, 2024",0,0,0,0,0,0,0,0,0,0,0
B07MJBYPSF2,"April 1, 2024",0,0,0,0,0,0,0,0,0,0,0
B07F5TV8YM2,"April 1, 2024",0,0,0,10,10,0,0,0,0,0,0
B0865X9LPW4,"April 1, 2024",0,0,0,0,0,0,0,0,0,0,0
B07R3Z6VZ54,"April 1, 2024",0,0,0,0,0,0,0,0,0,0,0
B07P9H3FDJ2,"April 1, 2024",0,0,0,3,3,0,0,0,0,0,0
B07R3ZJDZ11,"April 1, 2024",0,0,0,9,9,0,0,0,0,0,0
B07F5LPDV79,"April 1, 2024",0,0,0,14,14,0,0,0,0,0,0
B07P9K4N5W2,"April 1, 2024",0,0,0,23,23,0,0,0,0,0,0
B07P9K4XCL2,"April 1, 2024",0,0,0,5,5,0,0,0,0,5,0
B07MMMSXP62,"April 1, 2024",0,0,0,0,0,0,0,0,0,0,0
B07PBHV6TJ8,"April 1, 2024",0,0,0,0,0,0,0,0,0,0,0
B07R4VBSL39,"April 1, 2024",0,0,0,1,1,0,0,0,0,0,0
B07CGQW7M55,"April 1, 2024",0,0,0,12,12,0,0,0,0,0,0
B07HZCYKFM1,"April 1, 2024",0,0,0,0,0,0,0,0,0,0,0
B07R4WHFG21,"April 1, 2024",0,0,0,20,20,0,0,0,0,0,0
B07R4WHFMS2,"April 1, 2024",0,0,0,1,1,0,0,0,0,0,0
B009YQACGS9,"April 1, 2024",0,0,0,18,16.43,1.57,0,0,0,159,3
B07R4WMQ6R3,"April 1, 2024",0,0,0,1,1,0,0,0,0,0,0
B07PCP8B881,"April 1, 2024",0,0,0,2,2,0,0,0,0,0,0
B07MSPG7NJ4,"April 1, 2024",0,0,0,5,5,0,0,0,0,0,0
B07P8FLW976,"April 1, 2024",0,0,0,2,2,0,0,0,0,0,0
B009YDXV9Q4,"April 1, 2024",0,0,0,1,1,0,0,0,0,0,0
B07P8FM88R7,"April 1, 2024",0,0,0,2,2,0,0,0,0,0,0
B07R4WBMSW6,"April 1, 2024",0,0,0,15,15,0,0,0,0,13,0
B07R4X6FDG1,"April 1, 2024",0,0,0,1,1,0,0,0,0,0,0
B07M7DRML55,"April 1, 2024",0,0,0,0,0,0,0,0,0,0,0
B07R4VZLB53,"April 1, 2024",0,0,0,5,5,0,0,0,0,0,0
B07PHYB62D6,"April 1, 2024",0,0,0,1,1,0,0,0,0,0,0
B07MSPKHCC7,"April 1, 2024",0,0,0,0,0,0,0,0,0,0,0
B07P6CCH3R5,"April 1, 2024",0,0,0,3,3,0,0,0,0,0,0
B07R4V79GY6,"April 1, 2024",0,0,0,1,1,0,0,0,0,0,0
B07F5LYY254,"April 1, 2024",0,0,0,1,1,0,0,0,0,0,0
B07P8FNBST4,"April 1, 2024",0,0,0,3,3,0,0,0,0,0,0
B009YQ9AYI7,"April 1, 2024",0,0,0,19,19,0,0,0,0,0,0
B07VKSMD4K6,"April 1, 2024",0,0,0,0,0,0,0,0,0,0,0
B07R3ZHZDL4,"April 1, 2024",0,0,0,0,0,0,0,0,0,0,0
B07CGSNRC16,"April 1, 2024",0,0,0,7,7,0,0,0,0,14,0
B07R3JJYZP6,"April 1, 2024",0,0,0,4,4,0,0,0,0,0,0
B07P8FNG1B5,"April 1, 2024",0,0,0,0,0,0,0,0,0,0,0
B07R3ZHFZL8,"April 1, 2024",0,0,0,1,1,0,0,0,0,0,0
B07HZQPP737,"April 1, 2024",0,0,0,6,6,0,0,0,0,0,0
B0827NR2R26,"April 1, 2024",0,0,0,1,1,0,0,0,0,0,0
B07R3YQZKW1,"April 1, 2024",0,0,0,0,0,0,0,0,0,0,0
B07R3WLK685,"April 1, 2024",0,0,0,4,3.43,0.57,0,0,0,12,1
B07MSQ5PKK1,"April 1, 2024",0,0,0,2,2,0,0,0,0,0,0
B07R3JL7Q51,"April 1, 2024",0,0,0,3,3,0,0,0,0,0,0
B07HZPSGFT6,"April 1, 2024",0,0,0,2,2,0,0,0,0,0,0
B0827TGG5S7,"April 1, 2024",0,0,0,0,0,0,0,0,0,0,0
B07MLXCYC83,"April 1, 2024",-557.14,-585,0,14,14,0,-1,-1,0,53,0
B07MFQQJ329,"April 1, 2024",-619.05,-650,0,18,18,0,-1,-1,0,0,0
B07HZR2CH33,"April 1, 2024","-2,185.68","-2,448",0,16,11.92,4.08,-8,-8,0,"1,140",52
B07F5NCTN28,"April 2, 2024","41,650","23,066","10,891","1,417","1,115.62",301.38,119,84,35,"75,395","6,319"
B07F5M62172,"April 2, 2024","36,120","11,619","19,083","1,072",818.73,253.27,129,44.65,84.35,"45,562","4,654"
B07R3ZKB7D8,"April 2, 2024","20,700","13,547","4,010",633,561.62,71.38,45,28,17,"25,601","1,807"
B07P8FP14D3,"April 2, 2024","14,760","10,506","3,099",621,499.96,121.04,82,63.45,18.55,"26,554","1,178"
B07PBMCH2H1,"April 2, 2024","10,920","4,284","6,069",202,104.9,97.1,26,9,17,"21,622","1,076"
B009YQB4ZG7,"April 2, 2024","10,450","7,920","1,485",120,96.69,23.31,19,16,3,"1,774",355
B07PCPQ57N6,"April 2, 2024","9,600",671,"7,441",332,245.7,86.3,20,-1,21,"15,161","1,137"
B07R4XJ3HY1,"April 2, 2024","8,400","4,977","2,163",103,72.96,30.04,14,7.47,6.53,"10,001",546
B07F5LZHVL1,"April 2, 2024","6,900","6,210",0,135,135,0,30,30,0,156,0
B07R3ZJRTX8,"April 2, 2024","6,525","3,917","1,860",126,111.81,14.19,29,19,10,930,71
B07MC4N9Z46,"April 2, 2024","6,840",975,"4,255",261,174.28,86.72,36,11,25,"9,787","1,038"
B07P6CBN1W6,"April 2, 2024","5,250","3,346","1,274",157,148.03,8.97,14,9,5,"3,416",109
B07P9K4G8C2,"April 2, 2024","4,700","3,600",870,131,114.85,16.15,10,8.18,1.82,"4,802",168
B07P8FN6T23,"April 2, 2024","4,800","2,539","1,753",157,127.25,29.75,20,12,8,"5,474",296
B07VQQ4QTM2,"April 2, 2024","4,500","4,044",0,30,30,0,6,6,0,97,0
B07R3ZKHYQ9,"April 2, 2024","4,500","3,344",456,162,157.69,4.31,25,22.12,2.88,"2,401",35
B0DNMQVKFL5,"April 2, 2024","6,150","1,483","2,103",386,366.57,19.43,15,9,6,"8,958",361
B0823RGLLS2,"April 2, 2024","4,680","2,334","1,167",56,45.73,10.27,9,6,3,"5,397",104
B07MQ635T45,"April 2, 2024","4,030","2,632",795,120,94.29,25.71,13,10,3,"5,621",319
B07MSNKFY56,"April 2, 2024","3,750","2,204","1,176",143,121.51,21.49,10,6,4,"5,478",234
B07R3ZJHJ37,"April 2, 2024","4,080","3,346",0,37,37,0,24,24,0,219,0
B07MQ62Z8H9,"April 2, 2024","3,900","3,147",153,100,98.33,1.67,20,19,1,76,12
B07R3TV8M37,"April 2, 2024","3,520","3,008",0,78,78,0,16,16,0,0,0
B07R4WMZB37,"April 2, 2024","2,970","2,882",0,53,53,0,22,22,0,0,0
B07MC4N1WR6,"April 2, 2024","3,200","1,189","1,531",144,122.57,21.43,20,11,9,"3,802",130
B07R4VDDG12,"April 2, 2024","2,990","2,470",0,46,39.56,6.44,13,13,0,305,39
B07HZPSGFS1,"April 2, 2024","2,700","2,310",0,23,23,0,3,3,0,0,0
B07P8LWZ3L1,"April 2, 2024","2,550","2,250",0,13,13,0,5,5,0,0,0
B07HZR2CH33,"April 2, 2024","2,380","1,213","1,031",51,38.14,12.86,7,3.5,3.5,"3,791",141
B07R4W3SXJ5,"April 2, 2024","2,520","2,240",0,15,15,0,14,14,0,0,0
B07R4W54L84,"April 2, 2024","2,600","2,218",0,96,96,0,26,26,0,0,0
B07CGNCPKT6,"April 2, 2024","2,700","1,160","1,000",209,175.2,33.8,10,5,5,"14,347",525
B07MC4NLVL3,"April 2, 2024","3,250","1,733",347,39,38.19,0.81,5,4.17,0.83,258,8
B07R3ZJTTQ6,"April 2, 2024","2,610","1,980",0,36,36,0,9,9,0,49,0
B009XH17FS7,"April 2, 2024","2,450",560,"1,400",46,29.81,16.19,7,2,5,"5,841",174
B07MJBYT973,"April 2, 2024","2,200","1,958",0,13,13,0,11,11,0,0,0
B07R4WTRN21,"April 2, 2024","3,080","1,409",544,76,75.24,0.76,7,5,2,66,6
B07F5M3K1Y9,"April 2, 2024","2,160","1,920",0,70,59.88,10.12,12,12,0,"2,785",102
B07SD4XCWV5,"April 2, 2024","2,100","1,522",304,77,62.1,14.9,12,10,2,"2,332",201
B07P79D4LX8,"April 2, 2024","1,920","1,824",0,41,40.24,0.76,16,16,0,127,2
B07MQ63G912,"April 2, 2024","2,100","1,691",0,25,25,0,3,3,0,72,0
B0827TD1548,"April 2, 2024","2,100","1,600",0,43,41.38,1.62,10,10,0,91,16
B07PBJZ6C74,"April 2, 2024","1,600","1,556",0,8,8,0,4,4,0,73,0
B07PBJNS5X9,"April 2, 2024","1,750",438,"1,102",68,51.75,16.25,7,1.94,5.06,"6,124",354
B07PBJCK8T6,"April 2, 2024","1,650","1,500",0,52,52,0,6,6,0,0,0
B07M7DR8HR2,"April 2, 2024","1,900","1,192",298,49,47.34,1.66,10,8,2,114,21
B07R4XV29D2,"April 2, 2024","1,815","1,485",0,22,22,0,11,11,0,0,0
B07R4TTH217,"April 2, 2024","1,440","1,400",0,4,4,0,8,8,0,0,0
B07MJBYFQY9,"April 2, 2024","1,500",544,728,50,35.38,14.62,6,2,4,"8,352",149
B07HKF39CM8,"April 2, 2024","1,500","1,271",0,1,0.91,0.092,1,1,0,61,1
B07MQ62RNX6,"April 2, 2024","1,400","1,197",0,47,35.44,11.56,7,7,0,"4,644",113
B07MLXCYC83,"April 2, 2024","1,300","1,170",0,13,13,0,2,2,0,49,0
B07MQ635T34,"April 2, 2024","1,300","1,170",0,39,38.11,0.89,2,2,0,72,3
B07HZQPP737,"April 2, 2024","1,300","1,150",0,5,5,0,2,2,0,0,0
B07MFQQJ297,"April 2, 2024","1,260","1,035",0,28,27.1,0.9,9,9,0,37,11
B07R3ZFCZ48,"April 2, 2024","1,120",980,0,12,12,0,7,7,0,37,0
B07R4XRRRN2,"April 2, 2024",810,851,0,16,16,0,6,6,0,38,0
B07R4VLZ379,"April 2, 2024",850,786,0,47,46.19,0.81,5,5,0,51,5
B07PBKKPWY7,"April 2, 2024",780,742,0,20,20,0,2,2,0,0,0
B07R4V5W3K9,"April 2, 2024",750,726,0,28,28,0,6,6,0,0,0
B009YQACGS9,"April 2, 2024",900,722,0,20,20,0,2,2,0,105,0
B07PBJTHK76,"April 2, 2024",880,698,0,47,47,0,4,4,0,152,0
B07MFQQJ329,"April 2, 2024",700,650,0,11,11,0,1,1,0,0,0
B07R4TQ4362,"April 2, 2024",920,640,0,32,32,0,4,4,0,0,0
B07P9K4N5W2,"April 2, 2024",825,630,0,29,29,0,3,3,0,0,0
B07R4XJ54H2,"April 2, 2024",700,623,0,48,48,0,7,7,0,0,0
B07P8FM88R7,"April 2, 2024",580,580,0,7,7,0,2,2,0,0,0
B07R4WL4474,"April 2, 2024",660,561,0,17,17,0,6,6,0,0,0
B07P6CCGTN8,"April 2, 2024",700,550,0,3,3,0,1,1,0,0,0
B07R4W6SXD9,"April 2, 2024",600,520,0,11,11,0,4,4,0,0,0
B07R3ZJDZ11,"April 2, 2024",600,520,0,11,11,0,4,4,0,0,0
B009YF17KE8,"April 2, 2024",500,440,0,5,5,0,1,1,0,7,0
B009YQC4FK4,"April 2, 2024",500,430,0,5,5,0,1,1,0,0,0
B009YQ9AYI7,"April 2, 2024",600,418,0,21,21,0,1,1,0,0,0
B07P8FP3MN7,"April 2, 2024",430,400,0,0,0,0,1,1,0,0,0
B07F5TV8YM2,"April 2, 2024",450,392,0,12,12,0,1,1,0,0,0
B07F5RZWH46,"April 2, 2024",400,367,0,45,45,0,1,1,0,0,0
B07P8FNBST4,"April 2, 2024",420,360,0,5,5,0,3,3,0,0,0
B07HZQN4SF7,"April 2, 2024",390,360,0,0,0,0,1,1,0,0,0
B07R4WYM3D7,"April 2, 2024",350,344,0,5,5,0,2,2,0,0,0
B07P6CCH3R5,"April 2, 2024",400,330,0,7,7,0,2,2,0,0,0
B07HZNLDVV8,"April 2, 2024",360,300,0,20,20,0,1,1,0,0,0
B07P8FPC3Y2,"April 2, 2024",280,250,0,6,6,0,2,2,0,0,0
B07R3JJYZP6,"April 2, 2024",250,250,0,4,4,0,2,2,0,0,0
B07P9K4XCL2,"April 2, 2024",245,225,0,8,8,0,1,1,0,2,0
B07P9H4S9P5,"April 2, 2024",200,200,0,17,17,0,1,1,0,34,0
B07P6CD2JZ5,"April 2, 2024",130,105,0,3,3,0,1,1,0,5,0
B07F5LYY254,"April 2, 2024",80,76,0,0,0,0,1,1,0,0,0
B08DNYNV919,"April 2, 2024",0,0,0,7,7,0,0,0,0,0,0
B0865X9LPW4,"April 2, 2024",0,0,0,3,3,0,0,0,0,0,0
B0855D88PV4,"April 2, 2024",0,0,0,0,0,0,0,0,0,0,0
B07P8FP4MP7,"April 2, 2024",0,0,0,7,7,0,0,0,0,0,0
B07MJBYM6K2,"April 2, 2024",0,0,0,0,0,0,0,0,0,0,0
B07P8FPB576,"April 2, 2024",0,0,0,0,0,0,0,0,0,0,0
B07R3JL7Q51,"April 2, 2024",0,0,0,5,5,0,0,0,0,0,0
B07R3JKMJN5,"April 2, 2024",0,0,0,0,0,0,0,0,0,0,0
B07R3YQZKW1,"April 2, 2024",0,0,0,0,0,0,0,0,0,0,0
B07MJBYPSF2,"April 2, 2024",0,0,0,0,0,0,0,0,0,0,0
B07R3YRKXM3,"April 2, 2024",0,0,0,25,25,0,0,0,0,36,0
B07P9H3FDJ2,"April 2, 2024",0,0,0,4,4,0,0,0,0,0,0
B07MJBYPSW5,"April 2, 2024",0,0,0,4,4,0,0,0,0,0,0
B07R3ZHZDL4,"April 2, 2024",0,0,0,0,0,0,0,0,0,0,0
B07P9K24MW1,"April 2, 2024",0,0,0,1,1,0,0,0,0,0,0
B07R4TK5RB7,"April 2, 2024",0,0,0,6,6,0,0,0,0,0,0
B07MMMSXP62,"April 2, 2024",0,0,0,0,0,0,0,0,0,0,0
B07PBHHXZG5,"April 2, 2024",0,0,0,2,2,0,0,0,0,1,0
B07PBHV6TJ8,"April 2, 2024",0,0,0,0,0,0,0,0,0,0,0
B07R4TV4SF5,"April 2, 2024",0,0,0,0,0,0,0,0,0,0,0
B07R4V5NBR5,"April 2, 2024",0,0,0,7,7,0,0,0,0,0,0
B07M7DRML55,"April 2, 2024",0,0,0,0,0,0,0,0,0,0,0
B07HZCYKFM1,"April 2, 2024",0,0,0,0,0,0,0,0,0,0,0
B07PBKLTVD4,"April 2, 2024",0,0,0,1,1,0,0,0,0,0,0
B07R4WBMSW6,"April 2, 2024",0,0,0,13,13,0,0,0,0,42,0
B07R4WHFG21,"April 2, 2024",0,0,0,28,28,0,0,0,0,0,0
B07R4WHFMS2,"April 2, 2024",0,0,0,0,0,0,0,0,0,0,0
B07PBLHPN85,"April 2, 2024",0,0,0,34,32.3,1.7,0,0,0,66,15
B07P8FKBNZ3,"April 2, 2024",0,0,0,0,0,0,0,0,0,0,0
B07PCP8B881,"April 2, 2024",0,0,0,1,1,0,0,0,0,0,0
B07HZN2SSH2,"April 2, 2024",0,0,0,0,0,0,0,0,0,0,0
B07CGQW7M55,"April 2, 2024",0,0,0,4,4,0,0,0,0,0,0
B07P8FLW976,"April 2, 2024",0,0,0,0,0,0,0,0,0,0,0
B07R4WMQ6R3,"April 2, 2024",0,0,0,1,1,0,0,0,0,0,0
B07MSPG7NJ4,"April 2, 2024",0,0,0,2,2,0,0,0,0,0,0
B07R4X6FDG1,"April 2, 2024",0,0,0,1,1,0,0,0,0,0,0
B07PHYB62D6,"April 2, 2024",0,0,0,2,2,0,0,0,0,0,0
B07R4VZLB53,"April 2, 2024",0,0,0,5,5,0,0,0,0,0,0
B07R4VBSL39,"April 2, 2024",0,0,0,1,1,0,0,0,0,0,0
B07R4V79GY6,"April 2, 2024",0,0,0,0,0,0,0,0,0,0,0
B07R3JJGYW2,"April 2, 2024",0,0,0,4,4,0,0,0,0,0,0
B07MSPKHCC7,"April 2, 2024",0,0,0,0,0,0,0,0,0,0,0
B07P8FNG1B5,"April 2, 2024",0,0,0,3,3,0,0,0,0,18,0
B07VKSMD4K6,"April 2, 2024",0,0,0,0,0,0,0,0,0,0,0
B07R3ZHFZL8,"April 2, 2024",0,0,0,0,0,0,0,0,0,0,0
B07F5LPDV79,"April 2, 2024",0,0,0,10,10,0,0,0,0,0,0
B07R3Z6VZ54,"April 2, 2024",0,0,0,1,1,0,0,0,0,0,0
B07R3JKC418,"April 2, 2024",0,0,0,7,7,0,0,0,0,0,0
B0827NR2R26,"April 2, 2024",0,0,0,1,1,0,0,0,0,0,0
B07R3WLK685,"April 2, 2024",0,0,0,5,5,0,0,0,0,22,0
B009YDXV9Q4,"April 2, 2024",0,0,0,1,1,0,0,0,0,0,0
B07CGSNRC16,"April 2, 2024",0,0,0,9,9,0,0,0,0,5,0
B07HZPSGFT6,"April 2, 2024",0,0,0,0,0,0,0,0,0,0,0
B07MSQ5PKK1,"April 2, 2024",0,0,0,0,0,0,0,0,0,0,0
B07F5NCTN28,"April 3, 2024","38,500","20,578","10,810","1,458","1,167.11",290.89,110,70,40,"72,416","5,798"
B07R3ZKB7D8,"April 3, 2024","34,040","23,712","3,842",691,592.66,98.34,74,61,13,"22,493","2,266"
B07F5M62172,"April 3, 2024","28,840","13,355","11,158",963,735.84,227.16,103,59,44,"41,427","4,579"
B07P8FP14D3,"April 3, 2024","11,700","7,208","3,329",640,501.62,138.38,65,44,21,"28,057","1,251"
B07F5LZHVL1,"April 3, 2024","12,190","9,994",0,143,142.21,0.79,53,53,0,90,2
B07MSNKFY56,"April 3, 2024","10,125","8,581",545,148,131.56,16.44,27,25,2,"5,196",158
B07PBMCH2H1,"April 3, 2024","8,820","1,396","6,962",244,134.02,109.98,21,-3.82,24.82,"23,425","1,197"
B07PCPQ57N6,"April 3, 2024","9,120","3,775","4,025",343,250.8,92.2,19,6,13,"16,955","1,511"
B07MFQQJ329,"April 3, 2024","6,300","5,850",0,16,16,0,9,9,0,0,0
B07P6CBN1W6,"April 3, 2024","6,375","4,593","1,017",168,157.28,10.72,17,13,4,"4,027",150
B009YQB4ZG7,"April 3, 2024","6,050","3,035","2,410",145,118.71,26.29,11,6,5,"1,966",375
B07R3ZKHYQ9,"April 3, 2024","6,300","5,320",0,164,157.73,6.27,35,35,0,"2,801",52
B07P8FN6T23,"April 3, 2024","5,760","4,545",414,228,197.32,30.68,24,22,2,"7,328",240
B009YF17KE8,"April 3, 2024","5,500","4,840",0,8,8,0,11,11,0,8,0
B07MC4N1WR6,"April 3, 2024","5,280","1,531","2,957",180,157.83,22.17,33,19,14,"3,731",179
B07MC4NLVL3,"April 3, 2024","6,500","4,160",0,41,40.09,0.91,10,10,0,244,18
B07R4XJ3HY1,"April 3, 2024","4,800","2,110","1,910",131,87.33,43.67,8,2.67,5.33,"11,264",743
B07MQ635T45,"April 3, 2024","4,340","2,389","1,341",140,112.7,27.3,14,8,6,"7,323",318
